,date,south,west,north,south campus,south density,west density,north density,south compus density
0,2024-10-11 10:37:10.050172,0.61,0.54,0.37,0.0,11.952941176470588,9.063529411764705,13.856603773584904,22.601739130434783
0,2024-10-11 10:47:11.931604,0.62,0.54,0.38,0.0,16.184070796460176,9.17142857142857,14.12307692307692,20.877108433734936
0,2024-10-11 10:57:13.479776,0.62,0.56,0.38,0.0,16.475675675675674,9.063529411764705,13.6,22.601739130434783
0,2024-10-11 11:07:15.169415,0.62,0.57,0.38,0.0,9.008866995073893,9.63,13.856603773584904,22.406896551724138
0,2024-10-11 11:17:16.754137,0.61,0.57,0.38,0.0,14.748387096774193,10.272,13.856603773584904,18.304225352112677
0,2024-10-11 11:27:18.317298,0.6,0.56,0.38,0.0,15.24,9.751898734177214,14.12307692307692,22.406896551724138
0,2024-10-11 11:37:19.901273,0.6,0.55,0.38,0.01,9.144,7.627722772277227,11.657142857142855,22.027118644067794
0,2024-10-11 11:47:21.612125,0.6,0.54,0.38,0.01,12.273825503355704,7.627722772277227,11.298461538461538,22.12085106382979
0,2024-10-11 11:57:23.244664,0.6,0.54,0.38,0.01,15.114049586776858,8.195744680851064,13.352727272727273,22.12085106382979
0,2024-10-11 12:07:25.048184,0.6,0.54,0.38,0.01,14.99016393442623,10.272,13.856603773584904,22.601739130434783
0,2024-10-11 12:17:27.346790,0.6,0.55,0.38,0.01,14.99016393442623,10.005194805194805,12.66206896551724,21.934177215189873
0,2024-10-11 12:27:29.103625,0.59,0.53,0.38,0.01,13.854545454545454,9.395121951219512,14.687999999999997,22.90044052863436
0,2024-10-11 12:37:30.741107,0.59,0.53,0.37,0.01,14.99016393442623,7.133333333333333,14.687999999999997,21.304918032786883
0,2024-10-11 12:47:33.348080,0.58,0.52,0.37,0.01,16.777981651376148,7.627722772277227,14.687999999999997,20.628571428571426
0,2024-10-11 12:57:34.986278,0.58,0.52,0.37,0.01,16.933333333333334,6.1632,14.399999999999999,22.503896103896103
0,2024-10-11 13:07:36.565565,0.58,0.51,0.37,0.02,17.584615384615383,6.641379310344828,14.687999999999997,22.8
0,2024-10-11 13:17:38.112053,0.58,0.51,0.37,0.02,13.546666666666667,6.01875,14.12307692307692,21.75062761506276
0,2024-10-11 13:27:39.730827,0.57,0.48,0.36,0.01,12.440816326530612,6.114285714285714,13.856603773584904,22.406896551724138
0,2024-10-11 13:37:41.499997,0.56,0.48,0.36,0.02,11.723076923076922,6.263414634146342,12.66206896551724,21.48099173553719
0,2024-10-11 13:57:45.367458,0.55,0.46,0.36,0.02,14.2875,6.314754098360655,12.884210526315789,20.466141732283464
0,2024-10-11 14:07:47.042612,0.54,0.46,0.35,0.02,16.32857142857143,9.395121951219512,12.239999999999998,21.13170731707317
0,2024-10-11 14:17:48.622455,0.53,0.45,0.35,0.02,15.498305084745764,8.855172413793102,11.475,19.469662921348313
0,2024-10-11 14:27:50.654476,0.52,0.44,0.35,0.02,15.368067226890757,9.281927710843373,14.12307692307692,18.43404255319149
0,2024-10-11 14:37:52.125637,0.51,0.43,0.34,0.02,14.99016393442623,9.17142857142857,13.856603773584904,17.385953177257523
0,2024-10-11 14:47:53.788435,0.5,0.41,0.33,0.03,11.28888888888889,8.855172413793102,12.447457627118645,16.502857142857142
0,2024-10-11 14:57:55.399020,0.49,0.4,0.33,0.03,10.510344827586206,8.283870967741935,13.856603773584904,15.517611940298506
0,2024-10-11 15:07:56.986811,0.47,0.39,0.33,0.03,10.332203389830509,8.024999999999999,12.884210526315789,16.09411764705882
0,2024-10-11 15:17:58.639743,0.46,0.38,0.32,0.03,13.1568345323741,9.51111111111111,9.18,14.602247191011235
0,2024-10-11 15:39:00.824693,0.43,0.35,0.3,0.02,9.779679144385026,10.850704225352112,8.956097560975609,16.715112540192926
0,2024-10-11 15:49:02.640603,0.43,0.33,0.3,0.02,10.16,7.337142857142857,8.956097560975609,14.81025641025641
0,2024-10-11 15:59:04.196423,0.42,0.32,0.29,0.02,13.062857142857142,7.003636363636364,9.924324324324322,16.347169811320754
0,2024-10-11 16:09:05.959699,0.42,0.31,0.28,0.02,12.87887323943662,6.699130434782608,10.06027397260274,18.176223776223775
